harvested 0 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 0 agent results -> .audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
harvested 3 agent results -> /Users/alexanderbrynolsen/ball-iq/.audit/critique-2026-09-02 | reports: []
